StudNo,Description,Action,DateFiled,DateResolved
2008-76369,Detailed description of the product,approved,16 11 2015,12 01 2004
2019-54150,Description of the project goals,resolved,9 02 2010,23 03 2007
2014-84279,Description of the project goals,disapproved,9 01 2012,8 11 2013
2019-88835,Exciting features of the service,filed,30 07 2005,16 03 2020
2023-34384,Detailed description of the product,noted,21 06 2011,14 09 2011
2011-85042,Benefits of using the software,disapproved,3 08 2005,13 11 2022
2018-30661,Benefits of using the software,disapproved,21 04 2023,14 09 2016
2023-57504,Benefits of using the software,filed,7 05 2016,12 07 2016
2010-12381,Overview of the event,resolved,12 08 2004,16 04 2005
2008-29002,Overview of the event,resolved,3 05 2016,14 09 2008
2002-71800,Description of the project goals,noted,28 08 2021,1 09 2002
2022-87891,Benefits of using the software,disapproved,3 08 2023,20 11 2016
2009-36727,Description of the project goals,resolved,2 03 2024,9 12 2021
2023-50208,Detailed description of the product,filed,31 12 2006,26 08 2009
2009-68368,Overview of the event,approved,8 12 2023,16 02 2018
2000-59004,Detailed description of the product,noted,9 01 2022,19 04 2019
2001-39702,Benefits of using the software,disapproved,22 08 2009,26 04 2003
2004-28230,Exciting features of the service,resolved,12 02 2008,28 04 2015
2021-76562,Exciting features of the service,resolved,6 04 2024,18 09 2001
2017-22862,Benefits of using the software,filed,7 10 2012,2 01 2001
2011-17068,Benefits of using the software,noted,9 11 2011,3 08 2022
2020-57112,Benefits of using the software,approved,28 03 2002,5 08 2010
2014-11700,Description of the project goals,disapproved,1 08 2008,11 05 2012
2010-42276,Benefits of using the software,filed,11 04 2002,7 03 2009
2003-18497,Overview of the event,noted,2 04 2023,1 09 2007
2013-65871,Description of the project goals,filed,10 10 2006,15 04 2000
2011-73639,Exciting features of the service,filed,27 07 2002,25 06 2024
2006-92307,Exciting features of the service,resolved,11 10 2009,13 08 2017
2006-48000,Benefits of using the software,filed,15 11 2014,26 10 2009
2015-91166,Exciting features of the service,approved,13 06 2018,14 03 2013
2000-26739,Overview of the event,filed,21 09 2005,10 08 2008
2013-10665,Benefits of using the software,noted,14 05 2012,20 09 2020
2005-71063,Description of the project goals,resolved,28 12 2000,14 01 2005
2006-27701,Description of the project goals,disapproved,27 12 2003,11 06 2013
2011-66864,Detailed description of the product,noted,26 07 2017,28 12 2018
2016-66401,Detailed description of the product,noted,4 10 2002,1 12 2013
2007-36666,Description of the project goals,disapproved,25 06 2013,7 10 2020
2021-60694,Description of the project goals,resolved,13 11 2017,16 02 2018
2000-78081,Detailed description of the product,resolved,3 07 2015,12 07 2024
2009-63357,Exciting features of the service,resolved,1 03 2011,18 10 2013
2003-30128,Overview of the event,disapproved,11 11 2002,17 01 2010
2011-47580,Overview of the event,approved,2 04 2018,30 07 2000
2005-16353,Description of the project goals,approved,10 05 2011,16 09 2003
2003-69107,Detailed description of the product,noted,5 07 2003,9 04 2010
2012-89708,Exciting features of the service,disapproved,9 02 2000,28 07 2007
2024-42552,Exciting features of the service,filed,22 03 2016,1 01 2016
2004-82668,Benefits of using the software,filed,1 05 2017,1 01 2014
2000-90606,Benefits of using the software,noted,3 11 2016,20 06 2020
2015-57906,Benefits of using the software,filed,5 03 2004,17 10 2001
2015-67500,Detailed description of the product,resolved,26 01 2011,2 06 2016
2003-28931,Exciting features of the service,disapproved,13 03 2009,19 12 2017
2006-47264,Description of the project goals,resolved,11 06 2019,26 09 2010
2012-22973,Detailed description of the product,noted,12 02 2010,14 02 2009
2001-83879,Description of the project goals,noted,11 12 2011,1 01 2017
2017-74049,Benefits of using the software,noted,26 03 2002,26 11 2020
2020-77217,Description of the project goals,approved,17 04 2001,18 08 2004
2001-68292,Description of the project goals,disapproved,3 09 2009,30 08 2024
2000-35655,Exciting features of the service,noted,11 07 2021,7 09 2001
2002-68772,Benefits of using the software,approved,30 12 2001,2 02 2019
2010-59614,Description of the project goals,disapproved,1 08 2003,8 07 2019
2003-79105,Detailed description of the product,filed,26 04 2016,14 02 2018
2006-16714,Detailed description of the product,noted,9 06 2016,9 02 2022
2008-22317,Exciting features of the service,resolved,12 09 2013,24 02 2011
2003-10417,Benefits of using the software,resolved,24 01 2010,20 09 2022
2003-19802,Overview of the event,disapproved,22 05 2007,18 09 2014
2019-38735,Detailed description of the product,filed,26 05 2016,16 06 2002
2017-60726,Detailed description of the product,approved,1 09 2000,29 12 2001
2017-61206,Benefits of using the software,disapproved,30 11 2023,12 02 2017
2011-42227,Benefits of using the software,noted,12 08 2024,9 05 2004
2024-63871,Benefits of using the software,resolved,8 01 2014,8 06 2001
2013-62000,Benefits of using the software,resolved,19 03 2017,28 12 2015
2016-95778,Overview of the event,filed,14 09 2023,3 06 2019
2000-45983,Benefits of using the software,resolved,24 05 2014,13 04 2003
2007-55029,Description of the project goals,approved,14 10 2009,25 02 2022
2011-30961,Description of the project goals,filed,7 10 2005,17 11 2019
2005-24943,Detailed description of the product,disapproved,28 05 2016,11 08 2004
2021-63475,Overview of the event,noted,10 11 2010,29 05 2010
2006-85252,Description of the project goals,disapproved,4 09 2000,21 05 2015
2014-26684,Benefits of using the software,noted,4 01 2011,28 11 2011
2009-89109,Exciting features of the service,resolved,27 10 2008,17 02 2015
2011-52707,Benefits of using the software,disapproved,18 09 2013,3 10 2001
2023-56203,Overview of the event,filed,17 02 2002,11 09 2010
2022-48807,Overview of the event,noted,4 01 2010,12 08 2018
2008-82024,Exciting features of the service,resolved,18 08 2015,22 12 2008
2004-47141,Detailed description of the product,noted,21 06 2020,19 08 2010
2024-43071,Exciting features of the service,noted,21 11 2000,2 08 2020
2004-22072,Overview of the event,resolved,22 09 2010,14 12 2012
2019-48505,Exciting features of the service,disapproved,20 01 2017,21 07 2016
2013-30135,Exciting features of the service,filed,19 12 2023,11 08 2008
2005-26551,Exciting features of the service,disapproved,26 07 2002,9 03 2009
2009-38119,Description of the project goals,noted,2 03 2023,19 05 2008
2001-68440,Detailed description of the product,filed,1 09 2019,31 05 2006
2004-83269,Description of the project goals,filed,18 01 2012,17 03 2022
2018-69190,Exciting features of the service,disapproved,30 11 2003,25 08 2002
2002-10776,Benefits of using the software,noted,28 11 2007,18 12 2016
2023-35402,Overview of the event,approved,5 08 2015,28 03 2006
2021-34750,Detailed description of the product,resolved,14 12 2023,30 12 2001
2011-70235,Description of the project goals,disapproved,27 11 2021,17 10 2022
2012-61544,Detailed description of the product,noted,12 10 2022,17 11 2015
2011-86452,Detailed description of the product,disapproved,19 07 2007,8 05 2010
2002-11540,Benefits of using the software,disapproved,17 10 2005,30 05 2015
2020-93375,Exciting features of the service,disapproved,16 10 2019,10 02 2013
2010-11262,Description of the project goals,noted,2 11 2010,3 08 2021
2013-90088,Detailed description of the product,resolved,29 05 2007,11 01 2020
2021-54472,Overview of the event,resolved,14 05 2016,8 10 2005
2012-63818,Description of the project goals,disapproved,29 06 2010,26 11 2001
2021-38158,Overview of the event,disapproved,10 10 2004,23 04 2007
2003-49061,Overview of the event,noted,29 01 2014,8 07 2024
2001-83920,Detailed description of the product,resolved,5 09 2000,8 10 2017
2020-47702,Detailed description of the product,noted,29 06 2001,11 01 2023
2013-60610,Overview of the event,disapproved,10 06 2008,17 12 2012
2000-31826,Benefits of using the software,noted,29 06 2012,3 01 2006
2002-11551,Exciting features of the service,resolved,19 06 2019,2 04 2021
2003-26350,Description of the project goals,resolved,24 09 2019,9 03 2018
2005-26307,Description of the project goals,resolved,24 12 2018,28 02 2013
2023-31565,Description of the project goals,noted,28 04 2000,2 02 2002
2021-40532,Benefits of using the software,disapproved,29 07 2017,20 03 2023
2011-76295,Exciting features of the service,resolved,31 10 2018,11 09 2003
2020-68374,Exciting features of the service,filed,17 05 2024,9 08 2003
2005-42809,Benefits of using the software,filed,5 01 2016,14 06 2019
2009-44627,Exciting features of the service,noted,7 07 2024,5 12 2003
2022-20824,Description of the project goals,filed,18 01 2020,7 06 2000
2000-68499,Detailed description of the product,disapproved,25 02 2003,19 07 2022
2006-71540,Exciting features of the service,approved,29 09 2013,14 11 2018
2018-57290,Benefits of using the software,noted,7 10 2001,29 05 2022
2016-79884,Overview of the event,filed,4 10 2000,22 05 2023
2007-71893,Overview of the event,noted,23 05 2003,9 11 2016
2001-78072,Detailed description of the product,resolved,27 11 2023,6 04 2014
